chip_id,source_experiment,original_label,binary_label
exp_C1_trn_0,exp_C1,1,1
exp_C1_trn_1,exp_C1,1,1
exp_C1_trn_2,exp_C1,1,1
exp_C1_trn_3,exp_C1,1,1
exp_C1_trn_4,exp_C1,1,1
exp_C1_trn_5,exp_C1,1,1
exp_C1_trn_6,exp_C1,1,1
exp_C1_trn_7,exp_C1,1,1
exp_C1_trn_8,exp_C1,2,1
exp_C1_trn_9,exp_C1,1,1
exp_C1_trn_10,exp_C1,3,1
exp_C1_trn_11,exp_C1,4,1
exp_C1_trn_12,exp_C1,4,1
exp_C1_trn_13,exp_C1,3,1
exp_C1_trn_14,exp_C1,2,1
exp_C1_trn_15,exp_C1,4,1
exp_C1_trn_16,exp_C1,4,1
exp_C1_trn_17,exp_C1,2,1
exp_C1_trn_18,exp_C1,2,1
exp_C1_trn_19,exp_C1,2,1
exp_C1_trn_20,exp_C1,2,1
exp_C1_trn_21,exp_C1,3,1
exp_C1_trn_22,exp_C1,2,1
exp_C1_trn_23,exp_C1,3,1
exp_C1_trn_24,exp_C1,4,1
exp_C1_trn_25,exp_C1,3,1
exp_C1_trn_26,exp_C1,3,1
exp_C1_trn_27,exp_C1,3,1
exp_C1_trn_28,exp_C1,3,1
exp_C1_trn_29,exp_C1,3,1
exp_C1_trn_30,exp_C1,0,0
exp_C1_trn_31,exp_C1,0,0
exp_C1_trn_32,exp_C1,0,0
exp_C1_trn_33,exp_C1,0,0
exp_C1_trn_34,exp_C1,0,0
exp_C1_trn_35,exp_C1,0,0
exp_C1_trn_36,exp_C1,0,0
exp_C1_trn_37,exp_C1,0,0
exp_C1_trn_38,exp_C1,0,0
exp_C1_trn_39,exp_C1,0,0
exp_C1_trn_40,exp_C1,0,0
exp_C1_trn_41,exp_C1,0,0
exp_C1_trn_42,exp_C1,0,0
exp_C1_trn_43,exp_C1,0,0
exp_C1_trn_44,exp_C1,0,0
exp_C1_trn_45,exp_C1,0,0
exp_C1_trn_46,exp_C1,0,0
exp_C1_trn_47,exp_C1,0,0
exp_C1_trn_48,exp_C1,0,0
exp_C1_trn_49,exp_C1,0,0
exp_C1_trn_50,exp_C1,0,0
exp_C1_trn_51,exp_C1,0,0
exp_C1_trn_52,exp_C1,0,0
exp_C1_trn_53,exp_C1,0,0
exp_C1_trn_54,exp_C1,0,0
exp_C1_trn_55,exp_C1,0,0
exp_C1_trn_56,exp_C1,0,0
exp_C1_trn_57,exp_C1,0,0
exp_C1_trn_58,exp_C1,0,0
exp_C1_trn_59,exp_C1,0,0
exp_C1_trn_60,exp_C1,0,0
exp_C1_trn_61,exp_C1,0,0
exp_C1_trn_62,exp_C1,0,0
exp_C1_trn_63,exp_C1,0,0
exp_C1_trn_64,exp_C1,0,0
exp_C1_trn_65,exp_C1,0,0
exp_C1_trn_66,exp_C1,0,0
exp_C1_trn_67,exp_C1,0,0
exp_C1_trn_68,exp_C1,0,0
exp_C1_trn_69,exp_C1,0,0
exp_C1_trn_70,exp_C1,0,0
exp_C1_trn_71,exp_C1,0,0
exp_C1_trn_72,exp_C1,0,0
exp_C1_trn_73,exp_C1,0,0
exp_C1_trn_74,exp_C1,0,0
exp_C1_trn_75,exp_C1,0,0
exp_C1_trn_76,exp_C1,0,0
exp_C1_trn_77,exp_C1,0,0
exp_C1_trn_78,exp_C1,0,0
exp_C1_trn_79,exp_C1,0,0
exp_C1_trn_80,exp_C1,0,0
exp_C1_trn_81,exp_C1,0,0
exp_C1_trn_82,exp_C1,0,0
exp_C1_trn_83,exp_C1,0,0
exp_C1_trn_84,exp_C1,0,0
exp_C1_trn_85,exp_C1,0,0
exp_C1_trn_86,exp_C1,0,0
exp_C1_trn_87,exp_C1,0,0
exp_C1_trn_88,exp_C1,0,0
exp_C1_trn_89,exp_C1,0,0
exp_C1_trn_90,exp_C1,0,0
exp_C1_trn_91,exp_C1,0,0
exp_C1_trn_92,exp_C1,0,0
exp_C1_trn_93,exp_C1,0,0
exp_C1_trn_94,exp_C1,0,0
exp_C1_trn_95,exp_C1,0,0
exp_C1_trn_96,exp_C1,0,0
exp_C1_trn_97,exp_C1,0,0
exp_C1_trn_98,exp_C1,0,0
exp_C1_trn_99,exp_C1,0,0
exp_C1_trn_100,exp_C1,0,0
exp_C1_trn_101,exp_C1,0,0
exp_C1_trn_102,exp_C1,0,0
exp_C1_trn_103,exp_C1,0,0
exp_C1_trn_104,exp_C1,0,0
exp_C1_trn_105,exp_C1,0,0
exp_C1_trn_106,exp_C1,0,0
exp_C1_trn_107,exp_C1,0,0
exp_C1_trn_108,exp_C1,0,0
exp_C1_trn_109,exp_C1,0,0
exp_C1_trn_110,exp_C1,0,0
exp_C1_trn_111,exp_C1,0,0
exp_C1_trn_112,exp_C1,0,0
exp_C1_trn_113,exp_C1,0,0
exp_C1_trn_114,exp_C1,0,0
exp_C1_trn_115,exp_C1,0,0
exp_C1_trn_116,exp_C1,0,0
exp_C1_trn_117,exp_C1,0,0
exp_C1_trn_118,exp_C1,0,0
exp_C1_trn_119,exp_C1,0,0
exp_C1_trn_120,exp_C1,0,0
exp_C1_trn_121,exp_C1,0,0
exp_C1_trn_122,exp_C1,0,0
exp_C1_trn_123,exp_C1,0,0
exp_C1_trn_124,exp_C1,0,0
exp_C1_trn_125,exp_C1,0,0
exp_C1_trn_126,exp_C1,0,0
exp_C1_trn_127,exp_C1,0,0
exp_C1_trn_128,exp_C1,0,0
exp_C1_trn_129,exp_C1,0,0
exp_C1_trn_130,exp_C1,0,0
exp_C1_trn_131,exp_C1,0,0
exp_C1_trn_132,exp_C1,0,0
exp_C1_trn_133,exp_C1,0,0
exp_C1_trn_134,exp_C1,0,0
exp_C1_trn_135,exp_C1,0,0
exp_C1_trn_136,exp_C1,0,0
exp_C1_trn_137,exp_C1,0,0
exp_C1_trn_138,exp_C1,0,0
exp_C1_trn_139,exp_C1,0,0
exp_C1_trn_140,exp_C1,0,0
exp_C1_trn_141,exp_C1,0,0
exp_C1_trn_142,exp_C1,0,0
exp_C1_trn_143,exp_C1,0,0
exp_C1_trn_144,exp_C1,0,0
exp_C1_trn_145,exp_C1,0,0
exp_C1_trn_146,exp_C1,0,0
exp_C1_trn_147,exp_C1,0,0
exp_C1_trn_148,exp_C1,0,0
exp_C1_trn_149,exp_C1,0,0
exp_C1_trn_150,exp_C1,0,0
exp_C1_trn_151,exp_C1,0,0
exp_C1_trn_152,exp_C1,0,0
exp_C1_trn_153,exp_C1,0,0
exp_C1_trn_154,exp_C1,0,0
exp_C1_trn_155,exp_C1,0,0
exp_C1_trn_156,exp_C1,0,0
exp_C1_trn_157,exp_C1,0,0
exp_C1_trn_158,exp_C1,0,0
exp_C1_trn_159,exp_C1,0,0
exp_C1_trn_160,exp_C1,0,0
exp_C1_trn_161,exp_C1,0,0
exp_C1_trn_162,exp_C1,0,0
exp_C1_trn_163,exp_C1,0,0
exp_C1_trn_164,exp_C1,0,0
exp_C1_trn_165,exp_C1,0,0
exp_C1_trn_166,exp_C1,0,0
exp_C1_trn_167,exp_C1,0,0
exp_C1_trn_168,exp_C1,0,0
exp_C1_trn_169,exp_C1,0,0
exp_C1_trn_170,exp_C1,0,0
exp_C1_trn_171,exp_C1,0,0
exp_C1_trn_172,exp_C1,0,0
exp_C1_trn_173,exp_C1,0,0
